Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Sales__General_and_administrative,Other_operating_expenses,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Preferred_dividend,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2015-07-27,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,12.14,12.94,-0.8,False
2015-07-28,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.64,12.14,-0.5,False
2015-07-29,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.58,11.64,-0.06,False
2015-07-30,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.38,11.58,-0.2,False
2015-07-31,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,12.06,11.38,0.68,True
2015-08-01,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,12.06,12.06,0.0,False
2015-08-02,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,12.06,12.06,0.0,False
2015-08-03,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,12.04,12.06,-0.02,False
2015-08-04,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.78,12.04,-0.26,False
2015-08-05,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.76,11.78,-0.02,False
2015-08-06,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.58,11.76,-0.18,False
2015-08-07,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.4,11.58,-0.18,False
2015-08-08,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.4,11.4,0.0,False
2015-08-09,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.4,11.4,0.0,False
2015-08-10,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.7,11.4,0.3,True
2015-08-11,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.62,11.7,-0.08,False
2015-08-12,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.3,11.62,-0.32,False
2015-08-13,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,10.86,11.3,-0.44,False
2015-08-14,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.2,10.86,0.34,True
2015-08-15,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.2,11.2,0.0,False
2015-08-16,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.2,11.2,0.0,False
2015-08-17,154556.0,,154556.0,,67486.0,74198.0,141684.0,12872.0,68.0,6714.0,19518.0,8259.0,11259.0,11259.0,-44.0,11303.0,,,30510.0,6889,11.24,11.2,0.04,True
