Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Sales__General_and_administrative,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2015-09-07,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.97,0.99,-0.02,False
2015-09-08,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.03,0.97,0.06,True
2015-09-09,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.03,1.03,0.0,False
2015-09-10,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.03,1.03,0.0,False
2015-09-11,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.05,1.03,0.02,True
2015-09-12,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.05,1.05,0.0,False
2015-09-13,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,1.05,1.05,0.0,False
2015-09-14,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.95,1.05,-0.1,False
2015-09-15,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.95,-0.05,False
2015-09-16,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.9,0.0,False
2015-09-17,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.9,0.0,False
2015-09-18,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.91,0.9,0.01,True
2015-09-19,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.91,0.91,0.0,False
2015-09-20,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.91,0.91,0.0,False
2015-09-21,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.88,0.91,-0.03,False
2015-09-22,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.89,0.88,0.01,True
2015-09-23,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.89,0.01,True
2015-09-24,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.93,0.9,0.03,True
2015-09-25,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.93,-0.03,False
2015-09-26,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.9,0.0,False
2015-09-27,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.9,0.0,False
2015-09-28,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.9,0.0,False
2015-09-29,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.89,0.9,-0.01,False
2015-09-30,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.92,0.89,0.03,True
2015-10-01,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.92,0.92,0.0,False
2015-10-02,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.92,-0.02,False
2015-10-03,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.9,0.0,False
2015-10-04,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.9,0.9,0.0,False
2015-10-05,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.89,0.9,-0.01,False
2015-10-06,215.0,92.0,123.0,,110.0,110.0,12.0,,3.0,15.0,4.0,11.0,11.0,11.0,,,18.0,6893,0.88,0.89,-0.01,False
