Date,Revenue,Cost_of_revenue,Gross_profit,Operating_expenses,Research_and_development,Sales__General_and_administrative,Other_operating_expenses,Total_operating_expenses,Operating_income,Interest_Expense,Other_income__expense_,Income_before_taxes,Provision_for_income_taxes,Net_income_from_continuing_operations,Net_income,Net_income_available_to_common_shareholders,Earnings_per_share,Weighted_average_shares_outstanding,EBITDA,Symbol,Close,Ytd_close,OneDayMomentum,Dummy
2013-09-19,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.44,1.44,0.0,False
2013-09-20,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.44,1.44,0.0,False
2013-09-21,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.44,1.44,0.0,False
2013-09-22,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.44,1.44,0.0,False
2013-09-23,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.38,1.44,-0.06,False
2013-09-24,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.38,1.38,0.0,False
2013-09-25,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.35,1.38,-0.03,False
2013-09-26,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.35,1.35,0.0,False
2013-09-27,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.38,1.35,0.03,True
2013-09-28,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.38,1.38,0.0,False
2013-09-29,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.38,1.38,0.0,False
2013-09-30,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.36,1.38,-0.02,False
2013-10-01,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.36,1.36,0.0,False
2013-10-02,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.4,1.36,0.04,True
2013-10-03,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.37,1.4,-0.03,False
2013-10-04,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.41,1.37,0.04,True
2013-10-05,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.41,1.41,0.0,False
2013-10-06,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.41,1.41,0.0,False
2013-10-07,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.4,1.41,-0.01,False
2013-10-08,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.36,1.4,-0.04,False
2013-10-09,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.37,1.36,0.01,True
2013-10-10,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.38,1.37,0.01,True
2013-10-11,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.4,1.38,0.02,True
2013-10-12,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.4,1.4,0.0,False
2013-10-13,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.4,1.4,0.0,False
2013-10-14,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.4,1.4,0.0,False
2013-10-15,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.38,1.4,-0.02,False
2013-10-16,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.37,1.38,-0.01,False
2013-10-17,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.38,1.37,0.01,True
2013-10-18,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.39,1.38,0.01,True
2013-10-19,274.0,183.0,91.0,,,38.0,,38.0,53.0,8.0,5.0,49.0,8.0,41.0,38.0,38.0,,,74.0,6898,1.39,1.39,0.0,False
