,Month,WangZheRongYao_in_Chinese,WeiXin_in_Chinese,Mobile game,communication,time,senti_score_exp,Senti_headline,Predict_RF
37,2007-07-01,0,0,39,50,38,1.0,1,0
38,2007-08-01,0,0,36,50,39,0.716531311,1,0
39,2007-09-01,0,0,36,57,40,1.0,0,0
40,2007-10-01,0,0,37,61,41,0.716531311,0,0
41,2007-11-01,0,0,40,58,42,1.0,1,0
42,2007-12-01,0,0,45,47,43,0.60653066,0,0
43,2008-01-01,0,0,42,54,44,1.0,0,0
44,2008-02-01,0,0,42,55,45,1.648721271,2,0
45,2008-03-01,0,0,43,56,46,0.846481725,0,0
46,2008-04-01,0,0,40,56,47,2.718281828,0,0
47,2008-05-01,0,0,42,52,48,0.751477293,1,0
48,2008-06-01,0,0,43,49,49,0.716531311,0,0
49,2008-07-01,0,0,45,45,50,1.0,0,0
50,2008-08-01,0,0,49,45,51,1.284025417,1,0
51,2008-09-01,0,0,45,53,52,1.0,0,0
52,2008-10-01,0,0,44,54,53,0.716531311,2,0
53,2008-11-01,0,0,46,53,54,0.778800783,0,0
54,2008-12-01,0,0,48,45,55,2.718281828,0,0
55,2009-01-01,0,0,48,51,56,2.718281828,1,0
56,2009-02-01,0,0,46,53,57,2.718281828,0,0
57,2009-03-01,0,0,45,54,58,1.0,0,0
58,2009-04-01,0,0,44,52,59,1.0,1,0
59,2009-05-01,0,0,46,49,60,1.648721271,0,0
60,2009-06-01,0,0,46,46,61,1.0,2,0
61,2009-07-01,0,0,48,43,62,1.648721271,0,0
62,2009-08-01,0,0,47,44,63,0.778800783,0,0
63,2009-09-01,0,0,43,52,64,7.389056099,0,0
64,2009-10-01,0,0,43,54,65,2.718281828,1,0
65,2009-11-01,0,0,43,55,66,20.08553692,0,0
66,2009-12-01,0,0,47,45,67,0.472366553,1,0
67,2010-01-01,0,0,43,49,68,1.0,0,0
68,2010-02-01,0,0,43,53,69,1.0,0,0
69,2010-03-01,0,0,42,54,70,1.0,2,0
70,2010-04-01,0,0,43,51,71,1.0,0,0
71,2010-05-01,0,0,44,49,72,1.648721271,0,0
72,2010-06-01,0,0,45,47,73,7.389056099,0,0
73,2010-07-01,0,0,74,42,74,1.491824698,0,0
74,2010-08-01,0,0,76,42,75,1.947734041,1,0
75,2010-09-01,0,0,73,49,76,1.648721271,0,0
76,2010-10-01,0,0,71,50,77,1.0,2,0
77,2010-11-01,0,0,70,48,78,0.548811636,0,0
78,2010-12-01,0,0,77,40,79,1.0,1,0
79,2011-01-01,0,2,75,46,80,1.947734041,3,0
80,2011-02-01,0,1,70,47,81,1.491824698,1,0
81,2011-03-01,0,1,72,48,82,1.181360413,3,0
82,2011-04-01,0,1,80,44,83,1.395612425,1,0
83,2011-05-01,0,2,82,44,84,1.491824698,3,0
84,2011-06-01,0,9,88,42,85,1.648721271,1,0
85,2011-07-01,0,15,90,38,86,0.818730753,1,0
86,2011-08-01,0,15,92,39,87,0.367879441,1,0
87,2011-09-01,0,17,94,46,88,1.0,0,0
88,2011-10-01,0,18,97,46,89,1.395612425,0,0
89,2011-11-01,0,21,99,47,90,1.0,1,0
90,2011-12-01,0,23,100,38,91,0.778800783,1,0
91,2012-01-01,0,24,92,42,92,2.718281828,1,0
92,2012-02-01,0,31,88,44,93,1.395612425,2,0
93,2012-03-01,0,31,90,45,94,1.181360413,2,0
94,2012-04-01,0,32,90,41,95,1.0,0,0
95,2012-05-01,0,37,93,42,96,1.248848869,3,0
96,2012-06-01,0,44,96,39,97,1.0,0,0
97,2012-07-01,0,51,95,36,98,1.0,1,0
98,2012-08-01,0,50,98,36,99,0.818730753,1,0
99,2012-09-01,0,37,91,45,100,1.491824698,2,0
100,2012-10-01,0,38,84,44,101,1.0,2,0
101,2012-11-01,0,39,83,42,102,0.670320046,3,0
102,2012-12-01,0,45,89,34,103,1.0,4,0
103,2013-01-01,0,49,83,39,104,0.818730753,2,0
104,2013-02-01,0,60,83,42,105,0.818730753,1,0
105,2013-03-01,0,62,90,41,106,0.60653066,1,0
